a.d.a.,<American Dietetic Association> - Amerykańskie Stowarzyszenie  Dietetyków,<American Dental Association> - Amerykańskie Towarzystwo  Stomatologiczne
a.m.a.,<American Medical Association> - Amerykańskie Stowarzyszenie Lekarzy
a.m.s.,<army medical service> - wojskowa służba zdrowia
a.p.,od łac. <ante prandium> - (med.) przed jedzeniem
a.p.a.,<American Physiotherapy Association> - Amerykańskie Stowarzyszenie Fizjoterapeutyczne
a.p.h.a.,<American Public Health Association> - Amerykańskie Stowarzyszenie Publicznej Służby Zdrowia
a,<a, an> przedimek nieokreślony, bez odpowiednika polskiego: jakiś,pewien
aa,<Automobile Association>  angielskie stowarzyszenie użytkowników samochodów,<Alcoholics Anonymous>
aaa,(bryt.) <Amateur Athletic Association>,(amer.) <American Automobile Association>
aardvark,mrównik (owadożerny ssak afrykański, nie mrówkojad!)
ab,(amer.) <Bachelor of Arts> (pierwszy stopień uniwersytecki)
aback,w tył,wstecz
abandon,opuścić,porzucić, zaniechać,zrezygnować
abandoned,zrezygnował
abandoning,zrezygnując
abandons,zrezygnuje
abase,obniżyć
abased,obniżyć
abasement,poniżenia
abasements,poniżeń
abases,obniżyć
abash,zmieszać się
abashed,zmieszać się
abashes,zmieszać się
abashing,zmieszać się
abasing,obniżyć
abate,zmniejszyć,obniżyć (cenę itd), słabnąć,zmniejszać się
abated,osłabiać
abatement,obniżenie (ceny),opust
abatements,zmniejszeń
abates,osłabiać
abating,osłabiać
abbey,opactwo
abbeys,opactw
abbot,opat
abbots,opat
abbreviate,skrócić
abbreviated,skrócić
abbreviates,skrócić
abbreviating,skrócić
abbreviation,skrót
abbreviations,skrótach
abc,<American Broadcasting Company>,<Australian Broadcasting Commission>
abdicate,abdykować
abdomen,(anat.) brzuch,(zool.) odwłok
abdomens,brzuchach
abdominal,brzuszny
abduct,porwać,uprowadzić
abducted,porywać
abduction,porwanie,uprowadzenie
abductions,uprowadzeń
abductor,porywacz
abductors,porywaczach
abducts,porywać
abed,w łóżku
aberration,odchylenie,aberracja
aberrations,aberracjach
abet,nakłonić
abets,nakłonić
abetted,nakłonić
abetting,nakłonić
abhor,czuć odrazę,wstręt (sb,sth do kogoś,czegoś)
abhorred,brzydzić się
abhorrent,odrażający
abhorring,brzydzić się
abhors,brzydzić się
abide by sth,dotrzymywać czegoś/obstawać przy czymś
abide,(<abide,abode,abode>) przebywać,mieszkać, dotrzymywać (<by sth> czegoś), przestrzegać (prawa), obstawać (<by sth> przy czymś)
abided,tolerował
abides,toleruje
abiding,stały,trwały
abilities,zdolności
ability,zdolność,(prawn.) kompetencja,<abilities> zdolności (umysłowe)
abiogenesis,abiogeneza
abject,nędzny
abjectly,uniżenie
abjure,wyprzeć się
abjured,wyprzeć się
abjures,wyprzeć się
abjuring,wyprzeć się
ablation,(geol.) ablacja
ablative,narzędnik
ablaze,jasno świecić
able,zdolny (do czegoś)
abler,zdolny
ablest,zdolny
ably,umiejętnie
abm,<anti-ballistic-missile missile> pocisk antybalistyczny
